model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
PM.eqn,Smithetal2011_groups.csv,no,TreeBUGS,simple,high_WM,C2,0.9423536872549728,0.002824640521031427,0.9367899728434675,0.9387383696993838,0.9458264225135249,0.9478564391695844
PM.eqn,Smithetal2011_groups.csv,no,TreeBUGS,simple,high_WM,M,0.6480054617155927,0.009947545916469439,0.6296269774883607,0.6354034520789589,0.6614754025355435,0.6676918035388021
PM.eqn,Smithetal2011_groups.csv,no,TreeBUGS,simple,high_WM,P,0.8133298582176433,0.011526349115508105,0.7912088959308069,0.7989240676356777,0.8284927615177129,0.8351960826383396
PM.eqn,Smithetal2011_groups.csv,complete,TreeBUGS,simple,low_WM,C1,0.9380741497211628,0.003038046294765114,0.9318984265866778,0.9341222095231578,0.9419149075803335,0.9438278501889588
PM.eqn,Smithetal2011_groups.csv,complete,TreeBUGS,simple,low_WM,C2,0.9386938032759073,0.002956551358455154,0.9327122919127173,0.9348325816498309,0.9425185151069396,0.9443187574869606
PM.eqn,Smithetal2011_groups.csv,complete,TreeBUGS,simple,low_WM,M,0.537358825977659,0.02052148800427224,0.5041871769344363,0.5127232319590028,0.5638053856429547,0.5879902453514017
PM.eqn,Smithetal2011_groups.csv,complete,TreeBUGS,simple,low_WM,P,0.9405313543906216,0.036183906435598726,0.8497128200486305,0.8918521641395116,0.988730182592001,0.9928991256244584
PM.eqn,Smithetal2011_groups.csv,complete,TreeBUGS,simple,high_WM,C1,0.9445145297399725,0.002832039911691955,0.9389200900238133,0.9408486118889395,0.9480511158779023,0.9498269687900529
PM.eqn,Smithetal2011_groups.csv,complete,TreeBUGS,simple,high_WM,C2,0.9579814232257623,0.002459625112534533,0.9532218300527789,0.9548014721949848,0.9610712390485338,0.9626496489565189
PM.eqn,Smithetal2011_groups.csv,complete,TreeBUGS,simple,high_WM,M,0.5834182460015351,0.01439478420193379,0.5580118321259537,0.5669934893318046,0.6037536987102542,0.6156599163701603
PM.eqn,Smithetal2011_groups.csv,complete,TreeBUGS,simple,high_WM,P,0.9883238881059038,0.017412178468739086,0.9341495938690382,0.9625218380346326,0.999555702241627,0.9999229670747016
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait,low_WM,C1,0.9565237722222222,0.0045004905448527005,0.94751365,0.9507407999999999,0.9623744000000001,0.964747875
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait,low_WM,C2,0.9558850766666667,0.004999898307549522,0.9444949249999999,0.9496299999999999,0.9620165,0.9643917500000001
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait,low_WM,M,0.6189222838888889,0.09475769252356925,0.4665656,0.5074134,0.7567416,0.7935088749999999
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait,low_WM,P,0.9949179622222222,0.00682962335453248,0.976459125,0.9865550000000001,0.9998531,0.999964
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait,high_WM,C1,0.9545044683333334,0.004833559824852775,0.945117475,0.9484915,0.960466,0.964612075
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait,high_WM,C2,0.9727201144444444,0.00388126133592778,0.9651468249999999,0.9676968,0.977883,0.980115125
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait,high_WM,M,0.6119811622222222,0.043668397475855464,0.531079725,0.5538647,0.6669435,0.7006213250000001
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait,high_WM,P,0.9866949,0.01022348890489686,0.9621715750000001,0.9715609,0.9980881999999999,0.99955005
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait_uncorrelated,low_WM,C1,0.9554579566666667,0.0048707872533370515,0.945553,0.9491906999999999,0.9614692,0.9644661999999999
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait_uncorrelated,low_WM,C2,0.9572645077777778,0.005446018227028107,0.946348925,0.9500067000000001,0.9639167000000001,0.9670513249999999
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait_uncorrelated,low_WM,M,0.5839763394444445,0.044401055779614215,0.4908748,0.5253515000000001,0.6379453,0.6640627250000001
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait_uncorrelated,low_WM,P,0.9944206216666667,0.008896845024025105,0.9664074,0.9845659,0.9998840999999999,0.999981
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait_uncorrelated,high_WM,C1,0.9544267822222222,0.004418975482000679,0.9453618500000001,0.9487763,0.9602621,0.9626355
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait_uncorrelated,high_WM,C2,0.9725257377777777,0.003721150867676043,0.9647200250000001,0.9675298999999999,0.9770892,0.979069475
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait_uncorrelated,high_WM,M,0.597995105,0.04683921343053362,0.5094865249999999,0.5389035,0.6599575999999999,0.6955600749999999
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait_uncorrelated,high_WM,P,0.9884686305555556,0.01087528027818769,0.960928775,0.9722415,0.9989579,0.9997900249999999
